group	Proteobacteria	Firmicutes		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Firmicutes_C	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	9.98856	0.18247		13.19395	6.83724	1.45294	9.98856	2.61847	43.6142	0.18247	0	0.70028	
Healthy	0.05238	0		72.2396	13.88306	0	0.05238	3.7966	0	0	0	0	
D007234	48.61885	0		29.41874	2.70549	12.3952	48.61885	0	0	0	0	0	
Healthy	0	0		57.87419	8.04962	0	0	0	0	0	0	0	
Healthy	0	0		5.66977	3.2063	1.80362	0	1.90338	0	0	0	0	
Healthy	8.249	0.69617		47.14362	26.42466	0.81149	8.249	4.43903	0.00158	0.69617	0	0	
Healthy	0.15992	0.32099		69.59291	7.39766	0.38055	0.15992	6.19992	0	0.32099	0	0	
D007234	36.45099	25.83152		0	5.36466	0.97251	36.45099	0.00134	0	25.83152	0	0	
Healthy	2.78953	0.10396		31.15765	15.49563	1.06244	2.78953	0	6.53506	0.10396	0	0.04458	
Healthy	0.09287	0.07363		51.65985	29.18062	2.11801	0.09287	0.00592	0	0.07363	0	0.00051	
Healthy	0.0108	0.01923		58.6519	28.78854	0.01216	0.0108	0.30386	0	0.01923	0	0.18026	
Healthy	1.7984	0.08494		25.65235	33.73581	23.44327	1.7984	2.94971	0	0.08494	0	0	
D007234	30.49555	0.07109		0	0	41.61107	30.49555	0.73046	0	0.07109	0	0	
Healthy	1.79202	0.75887		56.36691	22.11296	0.98503	1.79202	0.01238	0.82499	0.75887	0.25495	0.01459	
Healthy	0	13.39566		23.10218	29.89807	11.8332	0	0	0	13.39566	0	0	
D007234	9.92384	0.50136		0	8.68767	74.06111	9.92384	4.72726	0	0.50136	0	0	
Healthy	0.13843	0.01605		67.84814	10.34048	0.36728	0.13843	0.45471	0.60467	0.01605	0	0.07128	
Healthy	11.43909	1.32629		0.27462	65.55638	9.45639	11.43909	0	0.99399	1.32629	0	0	
Healthy	1.59752	0.17548		86.76674	7.32847	0.22932	1.59752	0	0	0.17548	0	0.09711	
Healthy	2.78402	0.69145		64.33041	4.18008	16.43668	2.78402	9.75913	0	0.69145	0	0	
Healthy	0.1879	2.75295		13.80299	59.47244	1.30402	0.1879	1.5845	0.02627	2.75295	1.65371	0	
Healthy	1.19055	0.47306		34.77124	9.24266	0.22823	1.19055	0	1.86453	0.47306	8.04332	0.6158	
Healthy	0.18936	0.74219		45.30071	34.33585	3.26758	0.18936	1.5604	0	0.74219	0	0	
D007234	51.89556	0		0	0	0	51.89556	0	0	0	0	0	
D007234	98.4489	1.38307		0	0	0.08766	98.4489	0	0	1.38307	0	0	
D007234	71.0247	1.38923		0.00806	5.25307	2.21822	71.0247	2.45303	0	1.38923	0	0	
Healthy	16.867	2.86958		26.92825	26.56389	2.97751	16.867	2.26583	5.52258	2.86958	0	0	
Healthy	0.07434	0.12167		35.10278	47.64267	2.89382	0.07434	3.37599	0	0.12167	0	0	
D007234	91.7009	0.13802		0	0	0.05709	91.7009	0	0	0.13802	0	0	
Healthy	0.18263	0.02265		48.16875	17.49621	0	0.18263	0	5.84141	0.02265	0	0.23947	
Healthy	23.59619	5.28737		20.83528	24.58581	13.1947	23.59619	1.9971	1.65451	5.28737	0.79631	0.04548	
Healthy	2.29137	2.279		12.59463	55.79246	3.4566	2.29137	4.84801	0	2.279	0	0	
Healthy	6.53149	0.2058		29.16997	9.56664	0	6.53149	1.04876	19.976	0.2058	0.54221	0.71956	
D007234	81.02372	0.02928		0	0.89323	1.27334	81.02372	1.50745	0	0.02928	0	0	
Healthy	0.11959	0.49563		34.23946	32.98286	10.01482	0.11959	0.99085	0.08687	0.49563	0	0	
Healthy	0.42591	0		67.32252	17.90698	0	0.42591	3.29726	0.40549	0	0	0	
Healthy	0.11479	0.02068		46.13277	31.23049	0.13699	0.11479	0.21193	0.08623	0.02068	0	0.24772	
Healthy	0	0.45389		21.17389	17.0801	0.34594	0	3.15007	48.7672	0.45389	0	0	
Healthy	0.43006	1.63427		39.6002	28.40003	0.70274	0.43006	2.73817	0.02505	1.63427	0.63907	0.07772	
Healthy	0.26191	0.17857		17.14225	46.69578	25.24584	0.26191	0.30547	0	0.17857	0	0	
Healthy	0.19327	0.00266		34.70987	26.05212	3.84804	0.19327	0	1.65301	0.00266	0.18038	0.07473	
Healthy	0.002	0.03714		56.87795	13.87038	6.44048	0.002	0	0	0.03714	0.08119	0.10324	
D007234	76.56326	0		0	0	0	76.56326	0	0	0	0	0	
Healthy	4.30761	0.1302		54.17995	22.23502	1.66356	4.30761	0.50975	0	0.1302	0	0.08008	
Healthy	0.91721	0.29529		24.69327	20.69677	30.93662	0.91721	7.32293	0	0.29529	0	0.01514	
D007234	73.07242	1.34422		0	0.46989	0.31053	73.07242	4.81404	0	1.34422	0	0	
Healthy	1.53674	0.01765		63.4987	14.20783	0.709	1.53674	0.41868	0	0.01765	0.18758	0.15405	
Healthy	2.21801	0.58159		52.08938	25.91353	0.34524	2.21801	2.04301	0.62975	0.58159	0.07048	0.09305	
Healthy	0.29448	1.11176		40.45841	31.11105	0.84638	0.29448	0.04899	0.03917	1.11176	0	0	
D007234	85.75021	5.78379		0	0	0.65801	85.75021	1.53356	0	5.78379	0	0	
Healthy	0.45536	0.80843		48.12186	17.53068	6.80206	0.45536	10.27783	1.1655	0.80843	0	0.0012	
Healthy	0.01115	0.09202		55.96175	23.37749	7.33472	0.01115	0.00079	0.07252	0.09202	0.52921	0.05871	
D007234	64.82873	0		0	0	4.56517	64.82873	0	0	0	0	0	
Healthy	0.38872	0.163		76.93222	6.6307	0.80074	0.38872	6.47807	0	0.163	0	0.07883	
Healthy	27.78192	3.50436		9.78837	0.33418	53.799	27.78192	3.2176	0	3.50436	0	0.13184	
Healthy	0	1.20542		47.09899	25.23882	0.99682	0	0	4.64535	1.20542	2.8803	0.08855	
D007234	80.761	0.85172		0	0	0	80.761	0	0	0.85172	0	0	
D007234	52.93263	41.55222		0	0.71282	3.0858	52.93263	0	0	41.55222	0	0	
Healthy	0.46306	0.24408		89.10926	2.56496	0.15444	0.46306	3.3587	0	0.24408	0	0.00251	
Healthy	1.28454	0.14314		53.12384	35.90349	0.01631	1.28454	0	0.02478	0.14314	0	0.037	
D007234	71.00515	5.01658		0	0.71814	0.07707	71.00515	1.38855	0	5.01658	0	0	
Healthy	6.40698	0.27287		30.60738	9.89037	0	6.40698	1.00509	20.014	0.27287	0.54614	0.65549	
Healthy	0.1002	0		44.45977	5.85974	0.102	0.1002	0	0	0	0	0.05737	
Healthy	0	0		39.3006	25.37276	0.16463	0	0.6028	1.13725	0	15.6428	0.02658	
Healthy	16.45125	0.14265		41.24657	16.98491	0	16.45125	0	0	0.14265	0.32705	0	
D007234	100	0		0	0	0	100	0	0	0	0	0	
Healthy	1.75402	0.10243		86.758	7.64421	0.22191	1.75402	0	0	0.10243	0	0.09831	
Healthy	0	0.11515		12.46553	68.26649	0	0	5.12865	0.00932	0.11515	3.21156	0	
Healthy	0.33784	0.14147		76.44017	6.84408	0.81124	0.33784	6.53381	0	0.14147	0	0.10029	
Healthy	1.75061	18.28259		9.7859	24.61586	25.38832	1.75061	2.39552	0	18.28259	1.04718	0	
Healthy	15.52302	2.16373		42.18549	19.25723	6.79437	15.52302	2.17174	0	2.16373	0	0.03635	
Healthy	0.12857	0.24099		68.34488	7.33314	0.38779	0.12857	6.35013	0	0.24099	0	0	
Healthy	5.97118	0.09705		75.43383	5.42433	0.80846	5.97118	0	0	0.09705	0	0.20315	
